C assets/data/cars/car1.dat 6 r 61 r 100 100 2.0
C assets/data/cars/car2.dat 12 r 63 r 100 100 2.0
C assets/data/cars/car3.dat 14 r 69 r 100 100 2.0
C assets/data/cars/car1.dat 35 r 78 r 100 100 2.0
C assets/data/cars/car2.dat 33 r 73 r 100 100 2.0
C assets/data/cars/car3.dat 36 r 81 r 100 100 2.0
C assets/data/cars/car1.dat 23 r 73 r 100 100 2.0
C assets/data/cars/car2.dat 30 r 71 r 100 100 2.0
C assets/data/cars/car3.dat 12 r 69 r 100 100 2.0
C assets/data/cars/car1.dat 16 r 63 r 100 100 2.0
C assets/data/cars/car2.dat 33 r 67 r 100 100 2.0
C assets/data/cars/car3.dat 35 r 80 r 100 100 2.0
C assets/data/cars/car1.dat 14 r 79 r 100 100 2.0
C assets/data/cars/car2.dat 33 r 69 r 100 100 2.0
C assets/data/cars/car3.dat 34 r 63 r 100 100 2.0
C assets/data/cars/car1.dat 22 r 75 r 100 100 2.0
C assets/data/cars/car2.dat 61 r 6 r 100 100 2.0
C assets/data/cars/car3.dat 63 r 12 r 100 100 2.0
C assets/data/cars/car1.dat 69 r 14 r 100 100 2.0
C assets/data/cars/car2.dat 78 r 35 r 100 100 2.0
C assets/data/cars/car3.dat 73 r 33 r 100 100 2.0
C assets/data/cars/car1.dat 81 r 36 r 100 100 2.0
C assets/data/cars/car2.dat 73 r 23 r 100 100 2.0
C assets/data/cars/car3.dat 71 r 30 r 100 100 2.0
C assets/data/cars/car1.dat 69 r 12 r 100 100 2.0
C assets/data/cars/car2.dat 63 r 16 r 100 100 2.0
C assets/data/cars/car3.dat 67 r 33 r 100 100 2.0
C assets/data/cars/car1.dat 80 r 35 r 100 100 2.0
C assets/data/cars/car2.dat 79 r 14 r 100 100 2.0
C assets/data/cars/car3.dat 69 r 33 r 100 100 2.0
C assets/data/cars/car1.dat 63 r 34 r 100 100 2.0
C assets/data/cars/car2.dat 75 r 22 r 100 100 2.0
